cell_type,cell_class,cognitive_load,continuous_load,Calcium,Cell Cycle,Circadian,ERK/MAPK,Hippo,JAK-STAT,NF-κB,NRF2,Notch,PI3K/PTEN,TGF-β,Wnt,mTOR,p53
cone photoreceptor cells,neuronal cells,4,-4.17,0,0,1,0,0,0,0,0,0,0,1,1,1,0
conjunctival goblet cells,glandular epithelial cells,11,-0.44,1,1,1,1,1,0,1,1,1,0,1,0,1,1
corticotrophs,endocrine cells,6,-3.86,1,0,1,0,0,1,0,0,0,1,0,1,1,0
cytotrophoblasts,trophoblast cells,4,-4.22,0,1,0,0,1,0,0,0,0,0,0,1,0,1
decidual stromal cells,mesenchymal cells,4,-3.31,0,0,0,1,1,1,1,0,0,0,0,0,0,0
differentiating spermatogonia,germ cells,1,-9.83,0,0,0,0,0,0,0,0,0,0,0,0,1,0
distal convoluted tubule cells,specialized epithelial cells,7,3.73,1,0,0,0,1,0,0,1,0,1,1,1,1,0
early primary spermatocytes,germ cells,2,-8.85,0,0,1,0,0,0,0,0,0,0,0,0,1,0
early spermatids,germ cells,2,-7.90,0,0,0,0,1,0,0,0,0,0,0,0,1,0
endometrial ciliated cells,ciliated cells,11,6.22,1,1,1,0,1,1,1,1,1,0,1,0,1,1
endometrial glandular cells,glandular epithelial cells,13,15.30,1,1,1,1,1,1,1,1,1,0,1,1,1,1
endometrial luminal cells,glandular epithelial cells,13,10.36,1,1,1,1,1,1,1,1,1,0,1,1,1,1
endometrial secretory cells,glandular epithelial cells,9,0.58,0,1,1,0,1,0,1,1,1,0,1,1,0,1
endometrial stromal cells,mesenchymal cells,8,2.57,0,0,1,1,1,1,1,0,1,0,1,1,0,0
enteric stem cells,stem and proliferating cells,5,-2.03,0,0,1,1,0,0,1,0,1,0,0,1,0,0
enteric transient amplifying cells,stem and proliferating cells,3,-3.58,1,0,0,0,0,0,0,0,1,0,0,0,0,1
enterocytes,glandular epithelial cells,11,2.24,1,1,1,1,0,1,1,1,1,0,1,1,0,1
ependymal cells,ciliated cells,5,-0.62,0,0,0,0,1,0,0,0,1,1,0,1,1,0
epicardial cells,specialized epithelial cells,7,2.35,0,1,1,0,0,1,1,1,0,0,1,0,1,0
