motif_id,genes,length,n_inh,n_pathways
M_0202,CDKN1A|CDK2|FOXO6,3,1,6
M_0203,CDKN1A|CDK2|FOXO1,3,1,6
M_0204,CDKN1A|CDK2|FOXO3,3,1,6
M_0205,CDKN1A|CDK2|FOXO4,3,1,6
M_0206,CDK2|FOXO6|CDKN1B,3,1,4
M_0207,CDK2|FOXO1|CDKN1B,3,1,4
M_0208,CDK2|FOXO3|CDKN1B,3,1,4
M_0209,CDK2|FOXO4|CDKN1B,3,1,4
M_0210,CDK2|CCNE1|CDKN1B,3,1,4
M_0211,CDK2|CCNE1|CDKN4,3,1,2
M_0212,CDK2|CCNE|CDKN1B,3,1,4
M_0213,CDK2|CCNE|CDKN4,3,1,2
M_0214,PTEN|PTK2|P3R3URF-PIK3R3,3,1,4
M_0215,PTEN|PTK2|CCM4,3,1,4
M_0216,PTEN|PTK2|CLAPO,3,1,4
M_0217,PTEN|PTK2|5295,3,1,4
M_0218,PTEN|PTK2|5296,3,1,4
M_0219,PTEN|PTK2|8503,3,1,4
M_0220,GLI1|GLI|GLI3,3,3,2
M_0221,TP53|PMAIP1|BCL2,3,1,4
M_0222,TP53|SIVA1|BCL2,3,1,2
M_0223,TP53|BID|BCL2,3,1,3
M_0224,TP53|BBC3|BCL2,3,1,3
M_0225,YAP1|AXIN1|TPTEP2-CSNK1E,3,1,2
M_0226,YAP1|AXIN1|LOC400927-CSNK1E,3,1,2
M_0227,YAP1|AXIN|TPTEP2-CSNK1E,3,1,2
M_0228,YAP1|AXIN|LOC400927-CSNK1E,3,1,2
